Name,Location,County,Latitude,Longitude,Date,Day of the Week,Start Time,End Time,Start of Period,End of Period,Entry Fee,Weekly Fee,Alternative Payment,Transportation,Other Costs,Description,Target Audience,Businesses Types,Pros for FJ,Cons for FJ,Mitigation of Cons,Vendor Application Link,Source,5x5 Booth,10x10 Booth,,,
Fickett Farmers Market,"3935 Rux Rd SW., Atlanta, GA 30331",Fulton County,33.6886,-84.5279,"Wednesdays: 3pm - 7pm (Fall & Winter)
 Wednesdays: 3pm - 8pm (Spring & Summer)",Wednesday,15:00:00,19:00:00,1-Jan,31-Dec,,NA,NA,Gas,,"Under the Westside Farmers Markets umbrella, Castleberry Market, Fickett Farmers Market, and Underground Atlanta Farmers Markets work together to bring fresh, locally produced food to underserved neighborhoods in southwest and west Atlanta. Our goal is to support and nourish our community by sourcing substantial amounts of food from Georgia growers and producers. We are committed to creating opportunities for local makers, producers, and growers to thrive as entrepreneurs, while actively serving and supporting our community.",Local residents,"Under the Westside Farmers Markets umbrella, Castleberry Market, Fickett Farmers Market, and Underground Atlanta Farmers Markets work together to bring fresh, locally produced food to underserved neighborhoods in southwest and west Atlanta. Our goal is to support and nourish our community by sourcing substantial amounts of food from Georgia growers and producers. We are committed to creating opportunities for local makers, producers, and growers to thrive as entrepreneurs, while actively serving and supporting our community.","Mid-Week Market Opportunity: Operating on Wednesdays from afternoon to evening offers Farmers Jam access to a customer base that may not attend weekend markets
 
 Extended Evening Hours in Warm Months: During spring and summer, the market stays open until 8 pm, which could increase foot traffic
 
 Part of the Westside Farmers Markets Umbrella: Like Castleberry Market, Fickett Market is under the Westside Farmers Markets umbrella, providing Farmers Jam the opportunity to connect with vendors across multiple markets and expand its visibility in various Atlanta neighborhoods.","Mid-week Commitment: Attending a mid-week market can be a challenge if team members have other jobs or commitments
 
 Location and Limited Foot Traffic: Located in a neighborhood setting, the market might have fewer visitors than more central or weekend markets","Partnerships: partnering with another vendor for setup and breakdown support could also ease the workload
 
 Loyalty: Build relationships with repeat customers by offering loyalty cards or discounts for referrals","Guidelines: <https://www.westsidefarmersmarkets.org/_files/ugd/a6d3e5_06c5594d0e604b958c0d5b45da5b68d1.pdf>.
 
 Application Form: <https://www.westsidefarmersmarkets.org/general-1>.",Site: <https://www.westsidefarmersmarkets.org/>.,Not an Option,$35.00,,,
Reynoldstown Farmers Market,"100 Flat Shoals Ave, Atlanta, GA 30316",Fulton County,33.749,-84.3538,Sundays: 12pm - 3pm (September 15 - November 24),Sunday,12:00:00,15:00:00,15-Sep,24-Nov,$40 per week,$40.00,NA,Gas,,"This market is small, but mighty. Located in the shady parking lot in front of Lang Carson Community Center, the market is within walking distance of our entire neighborhood and just 100 yards off the Beltline. We put out a survey on social media asking folks if they’d like a market, and within a few days we had over 450 responses with a resounding yes!",Local residents,"We have a strong sense of community and a deep communication reach with our residents. We host a variety of booths, including produce, eggs & dairy, meat, bread, prepared foods, ready-to-eat food vendors and non-food items. Our vendors change from week to week, so keep in touch here and on socials to see who will be joining us!","Prime Location Near the Beltline: Being close to the Atlanta Beltline offers potential visibility to passersby and may attract a mix of local residents and casual visitors, increasing foot traffic and brand exposure
 
 Variety of Vendors: With a rotating roster of vendors, Farmers Jam can benefit from drawing in different types of customers each week","Limited Hours: Operating only for three hours and from mid-September to late November means limited time to establish a foothold with customers
 
 Neighborhood Specific Audience: The market’s focus on Reynoldstown residents may limit exposure to a wider audience, potentially reducing the opportunity for customer base expansion","Marketing: Capitalize on social media, tagging the market and partnering with influencers in the area to broaden Farmers Jam’s reach. Farmers Jam can promote its attendance in advance on social media to draw attention from followers",2024 Application Form: <https://docs.google.com/forms/d/1xvZ6XigkP0mEp1GO0rlMIVM1_iMOpiJ2n_mqq8r3n_g/viewform?edit_requested=true>.,Site: <https://www.reynoldstownfarmersmarket.com/>.,Not an Option,$40.00,,,
Saturday at Bishop Park,"705 Sunset Drive, Athens, GA",Clarke County,33.9611,-83.3956,Saturdays 8am-12pm,Saturday,08:00:00,12:00:00,1-Jan,31-Dec,$35 per week,$35.00,NA,Gas,OPTIONAL Full Vendor Membership Fee: $943 (sell for entire season),"The Athens Farmers Market Exists to provide an economic, educational, and cultural connection between community members, farmers, and artisans.",Local residents,"variety of vegetables, fruits, eggs and meat, flowers, artisan crafts, and prepared foods. We have live music to enjoy at each market and a free children’s activity. We are proud to double SNAP dollars with the support of Wholesome Wave Georgia.","Community and Family Appeal: The market promotes a strong community connection, and the inclusion of live music and children’s activities draws families, which could enhance Farmers Jam’s brand as a family-friendly, community-oriented business
 
 Seasonal Full Vendor Membership Option: The option to pay $943 for the entire season could provide Farmers Jam with significant savings if they plan to attend every Saturday
 
 Early Morning Hours: The 8 am to 12 pm timeframe allows Farmers Jam to reach early risers, which could attract a steady morning crowd and finish early enough to allow for other weekend commitments.
 
 Proximity to Athens Community: Athens has a dedicated local following for community events and farmers markets, allowing Farmers Jam to build brand recognition with residents who prioritize local and artisanal products.","Distance from Atlanta: Traveling to Athens each week could increase transportation costs and time, especially if gas prices are high.
 
 Early Start Requirement: Setting up by 8 am may require an early start, which could be logistically challenging","Transportation Alternatives: Plan efficient inventory to minimize restocking trips, or consider carpooling with another vendor traveling from Atlanta
 
 Eventual Partnerships: To ease the early mornings, Farmers Jam could arrange alternating schedules if multiple team members are available or partner with a local assistant in Athens.","Winter Market Applications Open Nov 1 - Nov 30
 
 Main Market Applications Open Jan 1 - Jan 31
 
 Link: <http://athensfarmersmarket.net/vendors>.",Site: <http://athensfarmersmarket.net/>.,Not an Option,$35.00,,,
Wednesday at Creature Comforts,"271 W Hancock Ave, Athens, GA 30601",Clarke County,33.9588,-83.3825,Wednesdays: 5pm-8pm,Wednesday,17:00:00,20:00:00,1-Jan,31-Dec,$35 per week,$35.00,,Gas,OPTIONAL Full Vendor Membership Fee: $943 (sell for entire season),"The Athens Farmers Market Exists to provide an economic, educational, and cultural connection between community members, farmers, and artisans.",Local residents,"variety of vegetables, fruits, eggs and meat, flowers, artisan crafts, and prepared foods. We have live music to enjoy at each market and a free children’s activity. We are proud to double SNAP dollars with the support of Wholesome Wave Georgia.",,"Community and Family Appeal: The market promotes a strong community connection, and the inclusion of live music and children’s activities draws families, which could enhance Farmers Jam’s brand as a family-friendly, community-oriented business
 
 Seasonal Full Vendor Membership Option: The option to pay $943 for the entire season could provide Farmers Jam with significant savings if they plan to attend every Saturday
 
 Early Morning Hours: The 8 am to 12 pm timeframe allows Farmers Jam to reach early risers, which could attract a steady morning crowd and finish early enough to allow for other weekend commitments.
 
 Proximity to Athens Community: Athens has a dedicated local following for community events and farmers markets, allowing Farmers Jam to build brand recognition with residents who prioritize local and artisanal products.","Distance from Atlanta: Traveling to Athens each week could increase transportation costs and time, especially if gas prices are high.
 
 Early Start Requirement: Setting up by 8 am may require an early start, which could be logistically challenging","Transportation Alternatives: Plan efficient inventory to minimize restocking trips, or consider carpooling with another vendor traveling from Atlanta
 
 Eventual Partnerships: To ease the early mornings, Farmers Jam could arrange alternating schedules if multiple team members are available or partner with a local assistant in Athens.",Site: <http://athensfarmersmarket.net/>.,Not an Option,$35.00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
